school_name,season,division,conference_code,primary_conference,roster_size,avg_height_inches,median_height_inches,min_height_inches,max_height_inches,height_std_inches,imputed_height_count,avg_experience,median_experience,max_experience,transfer_count,international_count,transfer_pct,international_pct,imputed_height_pct,experience_year_1_count,experience_year_2_count,experience_year_3_count,experience_year_4_count,experience_year_5_count,experience_year_1_pct,experience_year_2_pct,experience_year_3_pct,experience_year_4_pct,experience_year_5_pct,position_l_ds_count,position_mb_count,position_oh_count,position_opp_count,position_s_count
Saint Francis University,2025,DI,NEC,Northeast Conference,6,69.83333333333333,69.5,68.0,72.0,1.834847859269719,0,2.8333333333333335,3.0,4.0,0,0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.5,0.0,0.0,1.0,3.0,0.0,2.0
Sam Houston State University,2025,DI,CUSA,Conference USA,16,70.0625,70.0,66.0,74.0,2.4891430921771724,0,2.125,2.0,5.0,0,1,0.0,0.0625,0.0,6.0,5.0,3.0,1.0,1.0,0.375,0.3125,0.1875,0.0625,0.0625,2.0,3.0,5.0,3.0,3.0
Samford University,2025,DI,Southern,Southern Conference,15,71.06666666666666,72.0,65.0,75.0,3.390462814312834,0,2.6666666666666665,3.0,4.0,14,0,0.9333333333333333,0.0,0.0,3.0,4.0,3.0,5.0,0.0,0.2,0.26666666666666666,0.2,0.3333333333333333,0.0,3.0,3.0,5.0,1.0,3.0
Seton Hall University,2025,DI,Big East,Big East Conference,16,70.72695529576491,71.45390070921985,66.12328767123287,73.15611814345992,2.6049136963968764,0,2.0625,2.0,4.0,0,4,0.0,0.25,0.0,7.0,3.0,4.0,2.0,0.0,0.4375,0.1875,0.25,0.125,0.0,3.0,5.0,4.0,1.0,3.0
Siena University,2025,DI,MAAC,Metro Atlantic Athletic Conference,15,71.2,70.0,67.0,76.0,3.0047581314594076,0,2.466666666666667,3.0,4.0,0,5,0.0,0.3333333333333333,0.0,5.0,1.0,6.0,3.0,0.0,0.3333333333333333,0.06666666666666667,0.4,0.2,0.0,1.0,4.0,3.0,3.0,4.0
South Carolina State University,2025,DI,MEAC,Mid-Eastern Athletic Conf.,8,68.375,68.0,62.0,73.0,3.5431019500674013,0,2.625,2.5,5.0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.25,0.25,0.25,0.125,0.125,4.0,2.0,0.0,0.0,2.0
South Dakota State University,2025,DI,Summit,The Summit League,15,71.13333333333334,71.0,65.0,77.0,3.3137520095734967,0,2.8,3.0,5.0,15,0,1.0,0.0,0.0,3.0,4.0,4.0,1.0,3.0,0.2,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.2,5.0,2.0,4.0,2.0,2.0
Southeastern Louisiana University,2025,DI,Southland,Southland Conference,19,71.15789473684211,72.0,66.0,76.0,2.713406180323026,0,2.8947368421052633,3.0,5.0,3,2,0.15789473684210525,0.10526315789473684,0.0,3.0,3.0,8.0,3.0,2.0,0.15789473684210525,0.15789473684210525,0.42105263157894735,0.15789473684210525,0.10526315789473684,4.0,6.0,4.0,3.0,2.0
Southern Illinois University Edwardsville,2025,DI,Ohio Valley,Ohio Valley Conference,14,69.85714285714286,70.0,63.0,76.0,3.416186422069159,0,2.642857142857143,2.0,5.0,0,0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,2.0,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.14285714285714285,3.0,3.0,3.0,3.0,2.0
Southern Illinois University at Carbondale,2025,DI,MVC,Missouri Valley Conference,17,70.81404541426593,71.45390070921985,66.12328767123287,73.15611814345992,2.1476629353009997,0,2.7058823529411766,3.0,5.0,0,3,0.0,0.17647058823529413,0.0,5.0,2.0,4.0,5.0,1.0,0.29411764705882354,0.11764705882352941,0.23529411764705882,0.29411764705882354,0.058823529411764705,2.0,4.0,7.0,0.0,4.0
Southern Methodist University,2025,DI,ACC,Atlantic Coast Conference,17,71.41176470588235,71.0,66.0,74.0,2.0018373912924274,0,2.3529411764705883,2.0,5.0,6,0,0.35294117647058826,0.0,0.0,7.0,4.0,0.0,5.0,1.0,0.4117647058823529,0.23529411764705882,0.0,0.29411764705882354,0.058823529411764705,3.0,4.0,6.0,1.0,3.0
"Southern University, Baton Rouge",2025,DI,SWAC,Southwestern Athletic Conf.,16,69.375,69.5,62.0,74.0,3.0956959368344545,0,2.6875,3.0,5.0,0,1,0.0,0.0625,0.0,5.0,2.0,4.0,3.0,2.0,0.3125,0.125,0.25,0.1875,0.125,4.0,6.0,4.0,0.0,2.0
Southern Utah University,2025,DI,WAC,Western Athletic Conference,13,70.01200908795846,70.0,65.0,74.0,2.722731577217999,0,2.4615384615384617,3.0,5.0,0,2,0.0,0.15384615384615385,0.0,5.0,0.0,6.0,1.0,1.0,0.38461538461538464,0.0,0.46153846153846156,0.07692307692307693,0.07692307692307693,2.0,3.0,4.0,0.0,4.0
St. John's University (New York),2025,DI,Big East,Big East Conference,13,70.75642643146176,71.45390070921985,66.12328767123287,73.15611814345992,2.3339619252973693,0,2.3846153846153846,2.0,4.0,0,7,0.0,0.5384615384615384,0.0,4.0,4.0,1.0,4.0,0.0,0.3076923076923077,0.3076923076923077,0.07692307692307693,0.3076923076923077,0.0,2.0,3.0,6.0,0.0,2.0
